# 	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	Temperature(K)	e_fraction	e_fraction_err	e_sigma	e_sigma_err	e_amplitude	e_amplitude_err	e_height	e_height_err	e_FWHM	e_FWHM_err	PH_fraction	PH_fraction_err	PH_sigma	PH_sigma_err	PH_center	PH_center_err	PH_amplitude	PH_amplitude_err	PH_FWHM	PH_FWHM_err	TM_skew	TM_skew_err	TM_FWHM	TM_FWHM_err	TM_center	TM_center_err	TM_area	TM_area_err	CO_skew	CO_skew_err	CO_FWHM	CO_FWHM_err	CO_center	CO_center_err	CO_area	CO_area_err	LM_FWHM	LM_FWHM_err	LM_center	LM_center_err	LM_area	LM_area_err
    -0.375000      0.000000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     66.101048      9.243702      1.835247      0.256645     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     18.242950      0.000000     13.278584      9.812438     28.097159      0.000000      0.818447      0.193443     52.880000           nan    141.660000           nan    234.040285           nan      0.107901      0.071395     77.260000           nan    243.630000           nan     88.653573           nan           nan           nan           nan           nan           nan           nan
    -0.437500     -0.062500     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     96.623946      6.197961      2.682693      0.172082     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.369607      0.119020     49.520000           nan    144.550000           nan    246.542518           nan      0.187413      0.083655     62.670000           nan    231.060000           nan    102.432025           nan           nan           nan           nan           nan           nan           nan
    -0.375000     -0.125000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     93.650146      6.460589      2.600128      0.179374     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      1.003645      0.300013     50.200000           nan    123.930000           nan    292.422453           nan      9.999998      3.618534     69.530000           nan    210.640000           nan    116.452142           nan           nan           nan           nan           nan           nan           nan
    -0.312500     -0.187500     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     95.070040      6.199726      2.639550      0.172131     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.918328      0.187686     35.140000           nan    105.530000           nan    250.639519           nan      0.587725      0.213435    147.980000           nan    187.100000           nan    159.585720           nan           nan           nan           nan           nan           nan           nan
    -1.000000     -1.000000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     35.945591      5.886351      0.998003      0.163430     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.241138      0.000000      4.749466      5.861200     28.097159      0.000000      0.109809      0.071170     28.038900           nan     80.944200           nan    264.880358           nan      0.473040      0.079292    111.899500           nan    150.617100           nan     48.303904           nan           nan           nan           nan           nan           nan           nan
    -1.000000     -1.000000     25.650000    100.000000      0.526192      0.000000     14.048579      0.000000     56.360615      3.363593      1.564811      0.093388     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.241138      0.000000      3.260147      2.704452     28.097159      0.000000      0.349115      0.116271     31.470000           nan     79.300000           nan    150.227098           nan      0.166273      0.046115     47.850000           nan    178.370000           nan     12.184390           nan           nan           nan           nan           nan           nan           nan
    -1.000000     -1.000000     25.650000    200.000000      0.526192      0.000000     14.048579      0.000000     56.313957      3.205102      1.563516      0.088987     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.241138      1.049076      4.416240      1.915635     28.097159      0.000000      1.020500      0.430695     38.900000           nan     77.090000           nan    139.021776           nan      0.451117      0.142835    110.220000           nan    190.610000           nan     38.210378           nan           nan           nan           nan           nan           nan           nan
    -1.000000     -1.000000     25.650000    250.000000      0.526192      0.000000     14.048579      0.000000     86.241920      3.651651      2.394444      0.101385     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.241138      1.049076      3.331456      2.189044     28.097159      0.000000      0.844210      0.448540     46.220000           nan     75.310000           nan    126.668410           nan      0.281534      0.081276     97.680000           nan    177.380000           nan     25.641211           nan           nan           nan           nan           nan           nan           nan
    -1.000000     -1.000000     25.650000    300.000000      0.526192      0.000000     14.048579      0.000000     83.429246      3.769693      2.316352      0.104663     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.241138      1.049076      0.972768      2.289394     28.097159      0.000000           nan           nan     98.360000           nan     78.240000           nan    146.276966           nan      0.371376      0.109215    126.760000           nan    180.840000           nan     38.611595           nan           nan           nan           nan           nan           nan           nan
    -1.000000     -1.000000     25.650000    325.000000      0.526192      0.000000     14.048579      0.000000     90.811245      4.417469      2.521308      0.122648     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan    156.200000           nan     77.680000           nan    188.043173           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan
