# H(r.l.u.)	K(r.l.u.)	dQ(r.l.u.)
     0.18359318      0.00000000      1.39069895
     0.18750044      0.00000000      1.39460620
     0.19140610      0.00000000      1.39851186
     0.19531176      0.00000000      1.40241752
     0.19921902      0.00000000      1.40632478
     0.20312468      0.00000000      1.41023044
     0.20703193      0.00000000      1.41413769
     0.21093760      0.00000000      1.41804336
     0.21484326      0.00000000      1.42194902
     0.21875051      0.00000000      1.42585627
     0.22265617      0.00000000      1.42976194
     0.22656184      0.00000000      1.43366760
     0.23046909      0.00000000      1.43757485
     0.23437475      0.00000000      1.44148051
     0.23828201      0.00000000      1.44538777
     0.24218767      0.00000000      1.44929343
     0.24609333      0.00000000      1.45319909
     0.25000058      0.00000000      1.45710635
     0.25390625      0.00000000      1.46101201
     0.25781191      0.00000000      1.46491767
     0.26171916      0.00000000      1.46882492
     0.26562483      0.00000000      1.47273059
     0.26953049      0.00000000      1.47663625
     0.27343774      0.00000000      1.48054350
     0.27734340      0.00000000      1.48444917
     0.28125066      0.00000000      1.48835642
     0.28515632      0.00000000      1.49226208
     0.28906198      0.00000000      1.49616774
     0.29296924      0.00000000      1.50007500
     0.29687490      0.00000000      1.50398066
     0.30078056      0.00000000      1.50788632
     0.30468781      0.00000000      1.51179358
     0.30859348      0.00000000      1.51569924
     0.31250073      0.00000000      1.51960649
     0.31640639      0.00000000      1.52351215
     0.32031206      0.00000000      1.52741782
     0.32421931      0.00000000      1.53132507
     0.32812497      0.00000000      1.53523073
     0.33203063      0.00000000      1.53913640
     0.33593789      0.00000000      1.54304365
     0.33984355      0.00000000      1.54694931
     0.34374921      0.00000000      1.55085497
     0.34765647      0.00000000      1.55476223
     0.35156213      0.00000000      1.55866789
     0.35546938      0.00000000      1.56257514
     0.35937504      0.00000000      1.56648081
     0.36328071      0.00000000      1.57038647
     0.36718796      0.00000000      1.57429372
     0.37109362      0.00000000      1.57819938
     0.37499929      0.00000000      1.58210505
     0.37890654      0.00000000      1.58601230
     0.38281220      0.00000000      1.58991796
     0.38671946      0.00000000      1.59382522
     0.39062512      0.00000000      1.59773088
     0.39453078      0.00000000      1.60163654
     0.39843803      0.00000000      1.60554380
     0.40234370      0.00000000      1.60944946
     0.40624936      0.00000000      1.61335512
     0.41015661      0.00000000      1.61726237
     0.41406227      0.00000000      1.62116804
     0.41796953      0.00000000      1.62507529
     0.42187519      0.00000000      1.62898095
     0.42578085      0.00000000      1.63288661
     0.42968811      0.00000000      1.63679387
     0.43359377      0.00000000      1.64069953
     0.43749943      0.00000000      1.64460519
     0.44140669      0.00000000      1.64851245
     0.44531235      0.00000000      1.65241811
     0.44921801      0.00000000      1.65632377
     0.45312526      0.00000000      1.66023103
     0.45703093      0.00000000      1.66413669
     0.46093818      0.00000000      1.66804394
     0.46484384      0.00000000      1.67194960
     0.46874950      0.00000000      1.67585527
     0.47265676      0.00000000      1.67976252
     0.47656242      0.00000000      1.68366818
     0.48046808      0.00000000      1.68757384
     0.48437534      0.00000000      1.69148110
     0.48828100      0.00000000      1.69538676
     0.49218825      0.00000000      1.69929401
     0.49609392      0.00000000      1.70319968
     0.49999958      0.00000000      1.70710534
     0.49609392      0.00390625      1.71262920
     0.49218825      0.00781250      1.71815305
     0.48828100      0.01171875      1.72367804
     0.48437534      0.01562500      1.72920189
     0.48046808      0.01953118      1.73472682
     0.47656242      0.02343748      1.74025071
     0.47265676      0.02734377      1.74577460
     0.46874950      0.03125007      1.75129962
     0.46484384      0.03515621      1.75682339
     0.46093818      0.03906251      1.76234729
     0.45703093      0.04296881      1.76787230
     0.45312526      0.04687495      1.77339608
     0.44921801      0.05078125      1.77892110
     0.44531235      0.05468755      1.78444499
     0.44140669      0.05859369      1.78996877
     0.43749943      0.06249999      1.79549378
     0.43359377      0.06640629      1.80101767
     0.42968811      0.07031243      1.80654145
     0.42578085      0.07421872      1.81206647
     0.42187519      0.07812502      1.81759036
     0.41796953      0.08203132      1.82311425
     0.41406227      0.08593746      1.82863915
     0.41015661      0.08984376      1.83416304
     0.40624936      0.09375006      1.83968806
     0.40234370      0.09765620      1.84521184
     0.39843803      0.10156250      1.85073573
     0.39453078      0.10546880      1.85626074
     0.39062512      0.10937494      1.86178452
     0.38671946      0.11328124      1.86730841
     0.38281220      0.11718754      1.87283343
     0.37890654      0.12109368      1.87835721
     0.37499929      0.12499997      1.88388222
     0.37109362      0.12890627      1.88940611
     0.36718796      0.13281257      1.89493001
     0.36328071      0.13671871      1.90045491
     0.35937504      0.14062501      1.90597880
     0.35546938      0.14453131      1.91150269
     0.35156213      0.14843745      1.91702759
     0.34765647      0.15234375      1.92255148
     0.34374921      0.15625005      1.92807650
     0.33984355      0.16015603      1.93360017
     0.33593789      0.16406328      1.93912473
     0.33203063      0.16796894      1.94464930
     0.32812497      0.17187461      1.95017274
     0.32421931      0.17578186      1.95569731
     0.32031206      0.17968752      1.96122187
     0.31640639      0.18359318      1.96674531
     0.31250073      0.18750044      1.97226988
     0.30859348      0.19140610      1.97779444
     0.30468781      0.19531176      1.98331789
     0.30078056      0.19921902      1.98884358
     0.29687490      0.20312468      1.99436702
     0.29296924      0.20703193      1.99989158
     0.28906198      0.21093760      2.00541615
     0.28515632      0.21484326      2.01093959
     0.28125066      0.21875051      2.01646416
     0.27734340      0.22265617      2.02198872
     0.27343774      0.22656184      2.02751216
     0.26953049      0.23046909      2.03303785
     0.26562483      0.23437475      2.03856129
     0.26171916      0.23828201      2.04408586
     0.25781191      0.24218767      2.04961043
     0.25390625      0.24609333      2.05513387
     0.25000058      0.25000058      2.06065843
